player,team,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Jameson Williams,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,4.89,25.17,0.2,57.11,96.93,887.14,6.14,157.49,34,96,
Cooper Kupp,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,73.8,113.84,830.27,6.36,157.41,35,97,
Jauan Jennings,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,9.67,48.87,0.36,63.6,105.68,819.3,6.07,156.18,36,99,
Rashid Shaheed,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,4.81,24.6,0.19,65.36,109.06,889.47,5.29,155.95,37,100,
Keon Coleman,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,60.87,102.44,895.67,5.93,155.54,38,101,
Tyler Lockett,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,71.94,106.85,866.63,5.3,154.09,39,102,
Michael Pittman Jr.,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,81.41,128.62,868.2,4.48,153.39,40,103,
Jaylen Waddle,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,73.85,110.88,872.8,4.85,153.3,41,104,
Travis Hunter,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,9,45.88,0.33,68.89,113.88,847.78,4.6,153.05,42,105,
Matthew Golden,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,64.09,109.85,817.79,6.34,151.52,43,106,
Jayden Reed,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,62.47,98.89,830.16,6.4,151.25,44,107,
Khalil Shakir,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,65.4,99.67,792.31,5.55,144.55,45,114,
Tetairoa McMillan,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,63.64,102.89,814.35,4.79,141.66,46,116,
Rome Odunze,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,65.78,112.68,812.79,4.62,141.21,47,117,
Jordan Addison,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,59.39,98.43,728.75,6.1,139.17,48,120,
Rashee Rice,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,60.68,89.25,764.02,4.67,134.14,49,124,
Chris Godwin,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,63.09,90.05,716.69,4.93,132.01,50,126,
